PLAYER,Pts_sum,Pts_mean,years_played,Mat_sum,Mat_mean,Wkts_sum,Wkts_mean,Dots_sum,Dots_mean,4s_sum,4s_mean,6s_sum,6s_mean,Catches_sum,Catches_mean,Stumpings_sum,Stumpings_mean,position,median_season_ratings,avg_season_ratings,base_price
ABdeVilliers,1712.5,155.6818181818182,11,139,12.636363636363635,0,0.0,0,0.0,318,28.90909090909091,200,18.181818181818183,80,7.272727272727272,7,0.6363636363636364,BAT,80.34482758620689,80.31911231588647,1.5
AaronFinch,751.0,83.44444444444444,9,75,8.333333333333334,1,0.1111111111111111,13,1.4444444444444444,176,19.555555555555557,67,7.4444444444444455,24,2.6666666666666665,0,0.0,BAT,21.6990099009901,43.90188250021823,0.75
AbhishekJhunjhunwala,120.5,40.16666666666666,3,21,7.0,1,0.3333333333333333,27,9.0,19,6.333333333333332,5,1.6666666666666667,10,3.333333333333333,0,0.0,BAT,2.4724637681159423,7.2898007308695165,0.3
AbhishekNayar,340.5,48.64285714285714,7,60,8.571428571428571,9,1.2857142857142858,69,9.857142857142858,55,7.857142857142858,20,2.8571428571428568,13,1.8571428571428568,0,0.0,BAT,2.480645161290323,13.142475508917501,0.3
AdamGilchrist,1091.5,181.91666666666663,6,80,13.333333333333336,1,0.16666666666666666,1,0.16666666666666666,239,39.833333333333336,92,15.333333333333336,51,8.5,16,2.6666666666666665,WK,110.38074712643677,94.76401888341543,2.0
AjanthaMendis,109.0,27.25,4,10,2.5,8,2.0,76,19.0,0,0.0,0,0.0,2,0.5,0,0.0,BWL,6.077748312439732,7.88416401129233,0.3
AjinkyaRahane,1412.0,128.36363636363637,11,140,12.727272727272727,1,0.09090909090909093,2,0.18181818181818185,404,36.72727272727273,74,6.727272727272728,55,5.0,0,0.0,BAT,80.23255813953489,64.0527924452248,1.5
AjitAgarkar,418.0,69.66666666666667,6,42,7.0,29,4.833333333333333,254,42.333333333333336,13,2.1666666666666665,5,0.8333333333333334,5,0.8333333333333334,0,0.0,BWL,22.919799139167864,23.73225800023896,0.5
AkshdeepNath,29.5,7.375,4,14,3.5,0,0.0,0,0.0,7,1.75,2,0.5,2,0.5,0,0.0,BAT,2.467512274959084,2.469445378112682,0.3
AlbieMorkel,1338.0,148.66666666666666,9,91,10.111111111111109,85,9.444444444444443,648,72.0,61,6.777777777777778,55,6.111111111111112,19,2.1111111111111107,0,0.0,AR,84.85454545454546,58.58672206909567,1.5
AmbatiRayudu,1255.5,125.55,10,147,14.7,0,0.0,3,0.3,278,27.8,120,12.0,53,5.3,2,0.2,BAT,68.15501165501166,64.1064301551211,1.0
AmitMishra,1805.5,150.45833333333334,12,147,12.25,157,13.083333333333336,1111,92.58333333333331,29,2.4166666666666665,5,0.4166666666666667,22,1.8333333333333333,0,0.0,BWL,84.19490254872564,80.00860035086409,1.5
AndreRussell,1270.0,181.42857142857144,7,64,9.142857142857142,55,7.857142857142858,365,52.14285714285714,96,13.714285714285715,120,17.142857142857142,21,3.0,0,0.0,AR,96.0,65.12329614878156,1.5
AndrewSymonds,643.0,160.75,4,39,9.75,20,5.0,192,48.0,74,18.5,41,10.25,21,5.25,0,0.0,AR,32.072463768115945,49.71098435930549,1.0
AndrewTye,373.0,124.33333333333331,3,26,8.666666666666666,39,13.0,190,63.33333333333334,6,2.0,4,1.3333333333333333,7,2.333333333333333,0,0.0,BWL,56.149253731343286,64.54616637549036,1.0
AngeloMathews,577.5,96.25,6,49,8.166666666666666,27,4.5,224,37.333333333333336,44,7.333333333333332,29,4.833333333333333,19,3.1666666666666665,0,0.0,AR,23.54479166666667,25.77448613096479,0.5
AnilKumble,564.0,188.0,3,42,14.0,45,15.0,374,124.66666666666669,3,1.0,0,0.0,10,3.333333333333333,0,0.0,BWL,121.0,92.87755102040815,2.0
AnkitRajpoot,260.0,52.0,5,23,4.6,22,4.4,168,33.6,2,0.4,0,0.0,4,0.8,0,0.0,BWL,16.895238095238096,18.825853011943373,0.4
AnkitSharma,220.5,31.5,7,22,3.1428571428571432,12,1.7142857142857142,137,19.571428571428573,7,1.0,4,0.5714285714285714,4,0.5714285714285714,0,0.0,BWL,2.4800000000000004,9.340362590923817,0.3
