PLAYER,Pts,Wkts,Dots,4s,6s,Catches,Stumpings
ABdeVilliers,1712.5,0,0,318,200,80,7
AakashChopra,22.5,0,0,7,0,2,0
AaronFinch,751.0,1,13,176,67,24,0
AavishkarSalvi,30.0,3,17,0,0,1,0
AbdurRazzak,5.0,0,5,0,0,0,0
AbhimanyuMithun,145.5,7,90,4,1,7,0
AbhinavMukund,10.0,0,0,1,0,3,0
AbhishekJhunjhunwala,120.5,1,27,19,5,10,0
AbhishekNayar,340.5,9,69,55,20,13,0
AbhishekRaut,94.0,0,12,13,7,10,0
AbhishekSharma,37.0,1,1,4,5,2,0
AbrarKazi,2.0,0,2,0,0,0,0
AbuNechim,111.5,7,77,3,0,1,0
AdamGilchrist,1091.5,1,1,239,92,51,16
AdamMilne,58.5,4,32,0,0,5,0
AdamVoges,65.5,0,15,15,3,1,0
AdamZampa,139.0,19,70,1,0,0,0
AdityaDole,54.5,5,21,3,1,2,0
AdityaTare,158.5,0,0,40,11,3,5
AdrianBarath,16.0,0,0,5,1,0,0
AidenBlizzard,69.5,0,0,21,2,4,0
AjanthaMendis,109.0,8,76,0,0,2,0
AjinkyaRahane,1412.0,1,2,404,74,55,0
AjitAgarkar,418.0,29,254,13,5,5,0
AjitChandila,159.0,11,103,0,0,7,0
AkilaDananjaya,6.0,0,6,0,0,0,0
AkshathReddy,56.0,1,3,15,2,2,0
AkshdeepNath,29.5,0,0,7,2,2,0
AlbieMorkel,1338.0,85,648,61,55,19,0
AlexHales,58.5,0,0,13,6,2,0
AlfonsoThomas,188.5,14,126,1,1,3,0
AliMurtaza,142.5,9,101,1,0,3,0
AlzarriJoseph,53.5,6,25,2,0,1,0
AmbatiRayudu,1255.5,0,3,278,120,53,2
AmitMishra,1805.5,157,1111,29,5,22,0
AmitPaunikar,25.0,0,0,9,0,1,0
AmitSingh,289.5,28,189,0,0,1,0
AmitUniyal,15.0,2,8,0,0,0,0
AnandRajan,92.5,8,57,0,0,3,0
AndreNel,10.5,1,7,0,0,0,0
AndreRussell,1270.0,55,365,96,120,21,0
AndrewFlintoff,56.5,2,20,5,2,4,0
AndrewMcDonald,123.0,11,48,9,4,0,0
AndrewSymonds,643.0,20,192,74,41,21,0
AndrewTye,373.0,39,190,6,4,7,0
AngeloMathews,577.5,27,224,44,29,19,0
AniketChoudhary,65.5,5,42,1,1,0,0
