remove_col1,remove_col2
SR Watson,SR Watson
SR Watson,SR Watson
SR Watson,SR Watson
SR Watson,SR Watson
SR Watson,SR Watson
SR Watson,SR Watson
SR Watson,SR Watson
SR Watson,SR Watson
SR Watson,SR Watson
SR Watson,SR Watson
SR Watson,SR Watson
ST Jayasuriya,ST Jayasuriya
ST Jayasuriya,ST Jayasuriya
ST Jayasuriya,ST Jayasuriya
IK Pathan,YK Pathan
IK Pathan,YK Pathan
IK Pathan,YK Pathan
IK Pathan,YK Pathan
IK Pathan,YK Pathan
IK Pathan,YK Pathan
IK Pathan,YK Pathan
IK Pathan,YK Pathan
IK Pathan,YK Pathan
IK Pathan,YK Pathan
IK Pathan,YK Pathan
IK Pathan,YK Pathan
JA Morkel,JA Morkel
JA Morkel,JA Morkel
JA Morkel,JA Morkel
JA Morkel,JA Morkel
JA Morkel,JA Morkel
JA Morkel,JA Morkel
JA Morkel,JA Morkel
JA Morkel,JA Morkel
JA Morkel,JA Morkel
IK Pathan,IK Pathan
IK Pathan,IK Pathan
IK Pathan,IK Pathan
IK Pathan,IK Pathan
IK Pathan,IK Pathan
IK Pathan,IK Pathan
IK Pathan,IK Pathan
IK Pathan,IK Pathan
IK Pathan,IK Pathan
MR Marsh,SE Marsh
MR Marsh,SE Marsh
MR Marsh,SE Marsh
MR Marsh,SE Marsh
MR Marsh,SE Marsh
MR Marsh,SE Marsh
MR Marsh,SE Marsh
MR Marsh,SE Marsh
MR Marsh,SE Marsh
MS Gony,MS Gony
MS Gony,MS Gony
MS Gony,MS Gony
MS Gony,MS Gony
MS Gony,MS Gony
MS Gony,MS Gony
MS Gony,MS Gony
V Sehwag,V Sehwag
V Sehwag,V Sehwag
V Sehwag,V Sehwag
V Sehwag,V Sehwag
V Sehwag,V Sehwag
V Sehwag,V Sehwag
V Sehwag,V Sehwag
PP Chawla,PP Chawla
PP Chawla,PP Chawla
PP Chawla,PP Chawla
PP Chawla,PP Chawla
PP Chawla,PP Chawla
PP Chawla,PP Chawla
PP Chawla,PP Chawla
PP Chawla,PP Chawla
PP Chawla,PP Chawla
PP Chawla,PP Chawla
PP Chawla,PP Chawla
PP Chawla,PP Chawla
SC Ganguly,SC Ganguly
SC Ganguly,SC Ganguly
SC Ganguly,SC Ganguly
SC Ganguly,SC Ganguly
SC Ganguly,SC Ganguly
SK Warne,SK Warne
SK Warne,SK Warne
SK Warne,SK Warne
SK Warne,SK Warne
AC Gilchrist,AC Gilchrist
AC Gilchrist,AC Gilchrist
AC Gilchrist,AC Gilchrist
AC Gilchrist,AC Gilchrist
AC Gilchrist,AC Gilchrist
AC Gilchrist,AC Gilchrist
S Sreesanth,S Sreesanth
S Sreesanth,S Sreesanth
S Sreesanth,S Sreesanth
S Sreesanth,S Sreesanth
S Sreesanth,S Sreesanth
CM Gautam,G Gambhir
CM Gautam,G Gambhir
CM Gautam,G Gambhir
CM Gautam,G Gambhir
CM Gautam,G Gambhir
CM Gautam,G Gambhir
CM Gautam,G Gambhir
CM Gautam,G Gambhir
CM Gautam,G Gambhir
CM Gautam,G Gambhir
B Kumar,P Kumar
B Kumar,P Kumar
B Kumar,P Kumar
B Kumar,P Kumar
B Kumar,P Kumar
B Kumar,P Kumar
B Kumar,P Kumar
B Kumar,P Kumar
B Kumar,P Kumar
B Kumar,P Kumar
RP Singh,RP Singh
RP Singh,RP Singh
RP Singh,RP Singh
RP Singh,RP Singh
RP Singh,RP Singh
RP Singh,RP Singh
RP Singh,RP Singh
AR Patel,MM Patel
AR Patel,MM Patel
AR Patel,MM Patel
AR Patel,MM Patel
AR Patel,MM Patel
AR Patel,MM Patel
AR Patel,MM Patel
MF Maharoof,MF Maharoof
MF Maharoof,MF Maharoof
I Sharma,RG Sharma
I Sharma,RG Sharma
I Sharma,RG Sharma
I Sharma,RG Sharma
I Sharma,RG Sharma
I Sharma,RG Sharma
I Sharma,RG Sharma
I Sharma,RG Sharma
I Sharma,RG Sharma
I Sharma,RG Sharma
I Sharma,RG Sharma
I Sharma,RG Sharma
SK Raina,SK Raina
SK Raina,SK Raina
SK Raina,SK Raina
SK Raina,SK Raina
SK Raina,SK Raina
SK Raina,SK Raina
SK Raina,SK Raina
SK Raina,SK Raina
SK Raina,SK Raina
SK Raina,SK Raina
SK Raina,SK Raina
SK Raina,SK Raina
A Nehra,A Nehra
A Nehra,A Nehra
A Nehra,A Nehra
A Nehra,A Nehra
A Nehra,A Nehra
A Nehra,A Nehra
A Nehra,A Nehra
A Nehra,A Nehra
DJ Bravo,DJ Bravo
DJ Bravo,DJ Bravo
DJ Bravo,DJ Bravo
DJ Bravo,DJ Bravo
DJ Bravo,DJ Bravo
DJ Bravo,DJ Bravo
DJ Bravo,DJ Bravo
DJ Bravo,DJ Bravo
DJ Bravo,DJ Bravo
DJ Bravo,DJ Bravo
DJ Bravo,DJ Bravo
M Muralitharan,M Muralitharan
M Muralitharan,M Muralitharan
M Muralitharan,M Muralitharan
M Muralitharan,M Muralitharan
M Muralitharan,M Muralitharan
M Muralitharan,M Muralitharan
M Muralitharan,M Muralitharan
RP Singh,Yuvraj Singh
RP Singh,Yuvraj Singh
RP Singh,Yuvraj Singh
RP Singh,Yuvraj Singh
RP Singh,Yuvraj Singh
RP Singh,Yuvraj Singh
RP Singh,Yuvraj Singh
RP Singh,Yuvraj Singh
RP Singh,Yuvraj Singh
RP Singh,Yuvraj Singh
RP Singh,Yuvraj Singh
DR Smith,GC Smith
DR Smith,GC Smith
DR Smith,GC Smith
DR Smith,GC Smith
SK Trivedi,SK Trivedi
SK Trivedi,SK Trivedi
SK Trivedi,SK Trivedi
SK Trivedi,SK Trivedi
SK Trivedi,SK Trivedi
