PLAYER NAME,PLAYER,matched_player
A Ashish Reddy,AshishReddy,A Ashish Reddy
A Kumble,AnilKumble,A Kumble
A Mishra,AmitMishra,A Mishra
A Mithun,MithunManhas,A Mithun
A Nehra,AshishNehra,A Nehra
A Symonds,AndrewSymonds,A Symonds
AA Jhunjhunwala,AbhishekJhunjhunwala,AA Jhunjhunwala
AB Agarkar,AjitAgarkar,AB Agarkar
AB de Villiers,ABdeVilliers,AB de Villiers
AB Dinda,AshokDinda,AB Dinda
AC Gilchrist,AdamGilchrist,AC Gilchrist
AD Mascarenhas,DimitriMascarenhas,AD Mascarenhas
AD Mathews,AngeloMathews,AD Mathews
AD Nath,GlennMcGrath,AD Nath
AD Russell,AndreRussell,AD Russell
AJ Finch,AaronFinch,AJ Finch
AJ Tye,AndrewTye,AJ Tye
AM Nayar,AbhishekNayar,AM Nayar
AM Rahane,AjinkyaRahane,AM Rahane
Ankit Sharma,,
Anureet Singh,,
AR Patel,MunafPatel,AR Patel
AS Rajpoot,AnkitRajpoot,AS Rajpoot
AT Rayudu,AmbatiRayudu,AT Rayudu
Azhar Mahmood,AzharMahmood,Azhar Mahmood
B Chipli,BharatChipli,B Chipli
B Kumar,PraveenKumar,B Kumar
B Lee,BrettLee,B Lee
BA Stokes,BenStokes,BA Stokes
BAW Mendis,AjanthaMendis,BAW Mendis
BB McCullum,BrendonMcCullum,BB McCullum
BB Sran,KamranAkmal,BB Sran
BCJ Cutting,BenCutting,BCJ Cutting
Bipul Sharma,,
BJ Hodge,BradHodge,BJ Hodge
C de Grandhomme,ColindeGrandhomme,C de Grandhomme
C Munro,ColinMunro,C Munro
CA Lynn,ChrisLynn,CA Lynn
CA Pujara,CheteshwarPujara,CA Pujara
CH Gayle,ChrisGayle,CH Gayle
CH Morris,ChrisMorris,CH Morris
CJ Anderson,THenderson,CJ Anderson
CJ Jordan,ChrisJordan,CJ Jordan
CK Langeveldt,CharlLangeveldt,CK Langeveldt
CL White,CameronWhite,CL White
CM Gautam,GautamGambhir,CM Gautam
DA Miller,DavidMiller,DA Miller
DA Warner,DavidWarner,DA Warner
DB Ravi Teja,DwarakaRaviTeja,DB Ravi Teja
DE Bollinger,DougBollinger,DE Bollinger
DJ Bravo,DwayneBravo,DJ Bravo
