POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings,team_name,nationality,year
1,ShaneWatson,406.5,15,17,158,47,19,2,0,RR,Overseas,2008
2,SanathJayasuriya,308.5,14,4,36,58,31,2,0,MI,Overseas,2008
3,YusufPathan,290.5,16,8,60,43,25,3,0,RR,Indian,2008
4,AlbieMorkel,261.0,13,17,100,18,14,3,0,CSK,Overseas,2008
5,IrfanPathan,259.0,14,15,153,9,6,4,0,KXIP,Indian,2008
6,ShaunMarsh,246.0,11,0,0,59,26,3,0,KXIP,Overseas,2008
7,ManpreetGony,236.0,16,17,156,2,3,2,0,CSK,Indian,2008
8,ShaunPollock,232.5,13,11,131,12,8,2,0,MI,Overseas,2008
9,VirenderSehwag,224.5,14,3,18,46,21,3,0,DC,Indian,2008
10,PiyushChawla,222.0,15,17,112,10,3,6,0,KXIP,Indian,2008
11,SohailTanvir,220.0,11,22,122,3,1,4,0,RR,Overseas,2008
12,SouravGanguly,214.5,13,6,46,33,15,5,0,KKR,Indian,2008
13,ShaneWarne,214.0,15,19,108,7,2,6,0,RR,Overseas,2008
14,AdamGilchrist,211.5,14,0,0,51,19,6,1,DEC,Overseas,2008
15,ShanthakumaranSreesanth,204.5,15,19,133,0,0,2,0,KXIP,Indian,2008
16,GlennMcGrath,203.5,14,12,154,1,0,2,0,DC,Overseas,2008
17,GautamGambhir,203.0,14,0,0,68,8,2,0,DC,Indian,2008
18,PraveenKumar,198.5,13,11,109,10,6,2,0,RCB,Indian,2008
19,RPSingh,195.5,14,15,122,2,1,5,0,DEC,Indian,2008
20,MunafPatel,195.0,15,14,141,0,0,2,0,RR,Indian,2008
21,MFMaharoof,193.5,10,15,84,10,7,3,0,DC,Overseas,2008
22,RohitSharma,191.0,13,1,6,38,19,8,0,DEC,Indian,2008
23,SureshRaina,183.0,16,1,4,35,18,10,0,CSK,Indian,2008
24,AshishNehra,183.0,14,12,121,0,0,8,0,MI,Indian,2008
25,JamesHopes,180.5,11,7,53,27,8,3,0,KXIP,Overseas,2008
26,DwayneBravo,179.5,9,11,66,19,5,4,0,MI,Overseas,2008
27,MuttiahMuralitharan,175.5,15,11,127,0,0,4,0,CSK,Overseas,2008
28,YuvrajSingh,171.0,15,3,14,24,19,8,0,KXIP,Indian,2008
29,GraemeSmith,168.0,11,0,0,54,8,2,0,RR,Overseas,2008
30,SiddharthTrivedi,164.5,15,13,104,0,0,6,0,RR,Indian,2008
31,MSDhoni,162.5,16,0,0,38,15,6,0,CSK,Indian,2008
32,YoMahesh,162.5,11,16,94,0,0,5,0,DC,Indian,2008
33,DaleSteyn,161.0,10,10,116,0,0,4,0,RCB,Overseas,2008
34,ZaheerKhan,158.0,11,13,100,4,0,1,0,RCB,Indian,2008
35,DavidHussey,150.5,13,2,24,19,17,5,0,KKR,Overseas,2008
36,IshantSharma,149.5,13,8,114,1,0,2,0,KKR,Indian,2008
37,JacquesKallis,148.0,11,4,55,23,4,3,0,RCB,Overseas,2008
38,SAAsnodkar,143.5,9,0,0,43,6,6,0,RR,Overseas,2008
39,AshokDinda,142.5,13,8,112,0,0,1,0,KKR,Indian,2008
40,KumarSangakkara,140.5,10,0,0,41,8,4,0,KXIP,Overseas,2008
41,RobinUthappa,139.0,14,0,0,34,9,9,0,MI,Indian,2008
42,ShahidAfridi,137.0,10,9,57,7,6,4,0,DEC,Overseas,2008
43,VenugopalRao,136.5,11,2,22,22,15,0,0,DEC,Indian,2008
44,VRVSingh,136.0,13,11,95,1,0,0,0,KXIP,Overseas,2008
45,ShikharDhawan,135.5,14,0,0,35,8,8,0,DC,Indian,2008
46,MakhayaNtini,131.0,9,7,99,2,0,1,0,CSK,Overseas,2008
47,RahulDravid,131.0,14,0,0,35,11,2,0,RCB,Indian,2008
48,ParthivPatel,130.5,13,0,0,42,3,6,0,CSK,Indian,2008
49,AnilKumble,122.0,10,7,85,1,0,4,0,RCB,Indian,2008
50,DhawalKulkarni,120.5,10,11,77,0,0,2,0,MI,Indian,2008
51,PragyanOjha,117.0,13,11,71,0,0,3,0,DEC,Indian,2008
52,AjitAgarkar,116.0,9,8,66,5,2,1,0,KKR,Indian,2008
53,UmarGul,113.0,6,12,51,1,5,0,0,KKR,Overseas,2008
54,LaxmiRatanShukla,104.0,13,6,18,17,5,2,0,KKR,Indian,2008
55,ScottStyris,103.5,8,3,61,9,2,1,0,DEC,Overseas,2008
56,LakshmipathyBalaji,101.0,9,11,60,0,0,1,0,CSK,Indian,2008
57,AbhishekNayar,99.0,14,1,14,16,9,4,0,MI,Indian,2008
58,VinayKumar,95.0,8,5,59,2,1,4,0,RCB,Indian,2008
59,MohammadAsif,94.5,8,8,64,0,0,1,0,DC,Overseas,2008
60,SubramaniamBadrinath,93.0,16,0,0,21,8,5,0,CSK,Indian,2008
61,AmitMishra,92.0,6,11,41,3,0,2,0,DC,Indian,2008
62,DilharaFernando,91.0,5,10,51,0,0,2,0,MI,Overseas,2008
63,MarkBoucher,91.0,10,0,0,24,6,3,1,RCB,Overseas,2008
64,BrendonMcCullum,87.5,4,0,0,13,15,1,0,KKR,Overseas,2008
65,JoginderSharma,87.0,8,8,43,1,1,4,0,CSK,Indian,2008
66,SBBangar,87.0,11,4,55,1,3,2,0,DEC,Overseas,2008
67,SalmanButt,87.0,7,0,0,30,2,2,0,KKR,Overseas,2008
68,SachinTendulkar,87.0,7,0,0,26,2,6,0,MI,Indian,2008
69,AndrewSymonds,85.5,4,0,9,15,9,3,0,DEC,Overseas,2008
70,RajatBhatia,83.5,9,6,48,2,2,1,0,DC,Indian,2008
71,StephenFleming,83.0,10,0,0,27,3,2,0,CSK,Overseas,2008
72,HerschelleGibbs,83.0,9,0,0,17,8,5,0,DEC,Overseas,2008
73,KamranAkmal,83.0,6,0,0,13,8,5,4,RR,Overseas,2008
74,MatthewHayden,81.0,4,0,0,24,6,0,0,CSK,Overseas,2008
75,WriddhimanSaha,79.5,12,0,0,12,7,8,2,KKR,Indian,2008
