PLAYER,Pts_sum,Pts_mean,years_played,Mat_sum,Mat_mean,Wkts_sum,Wkts_mean,Dots_sum,Dots_mean,4s_sum,4s_mean,6s_sum,6s_mean,Catches_sum,Catches_mean,Stumpings_sum,Stumpings_mean,position,overseas_or_indian,median_season_ratings,avg_season_ratings,base_price
ABdeVilliers,1712.5,155.681818181818,11,139,12.6363636363636,0,0,0,0,318,28.9090909090909,200,18.1818181818182,80,7.27272727272727,7,0.636363636363636,BAT,Overseas,50.3448275862069,51.4100214067956,1.5
AaronFinch,751,83.4444444444445,9,75,8.33333333333333,1,0.111111111111111,13,1.44444444444444,176,19.5555555555556,67,7.44444444444445,24,2.66666666666667,0,0,BAT,Overseas,11.6990099009901,27.4574380557738,0.75
AbhishekJhunjhunwala,120.5,40.1666666666667,3,21,7,1,0.333333333333333,27,9,19,6.33333333333333,5,1.66666666666667,10,3.33333333333333,0,0,BAT,Indian,2.47246376811594,4.62313406420285,0.3
AbhishekNayar,340.5,48.6428571428571,7,60,8.57142857142857,9,1.28571428571429,69,9.85714285714286,55,7.85714285714286,20,2.85714285714286,13,1.85714285714286,0,0,BAT,Indian,2.48064516129032,8.57104693748893,0.3
AdamGilchrist,1091.5,181.916666666667,6,80,13.3333333333333,1,0.166666666666667,1,0.166666666666667,239,39.8333333333333,92,15.3333333333333,51,8.5,16,2.66666666666667,WK,Overseas,70.3807471264368,61.7640188834154,2
AjanthaMendis,109,27.25,4,10,2.5,8,2,76,19,0,0,0,0,2,0.5,0,0,BWL,Overseas,4.07774831243973,4.88416401129233,0.3
AjinkyaRahane,1412,128.363636363636,11,140,12.7272727272727,1,0.090909090909091,2,0.181818181818182,404,36.7272727272727,74,6.72727272727273,55,5,0,0,BAT,Indian,50.2325581395349,41.3255197179521,1
AjitAgarkar,418,69.6666666666667,6,42,7,29,4.83333333333333,254,42.3333333333333,13,2.16666666666667,5,0.833333333333333,5,0.833333333333333,0,0,BWL,Indian,11.9197991391679,13.732258000239,0.5
AkshdeepNath,29.5,7.375,4,14,3.5,0,0,0,0,7,1.75,2,0.5,2,0.5,0,0,BAT,Indian,2.46751227495908,2.46944537811268,0.3
AlbieMorkel,1338,148.666666666667,9,91,10.1111111111111,85,9.44444444444444,648,72,61,6.77777777777778,55,6.11111111111111,19,2.11111111111111,0,0,AR,Overseas,62.8545454545455,41.4756109579846,2
AmbatiRayudu,1255.5,125.55,10,147,14.7,0,0,3,0.3,278,27.8,120,12,53,5.3,2,0.2,BAT,Indian,38.1550116550117,37.9064301551211,1
AmitMishra,1805.5,150.458333333333,12,147,12.25,157,13.0833333333333,1111,92.5833333333333,29,2.41666666666667,5,0.416666666666667,22,1.83333333333333,0,0,BWL,Indian,50.2173913043478,50.1752670175308,1.5
